aback	AH B AE K
scattered	S K AE T ER D
scattering	S K AE T ER IH NG
scattershot	S K AE T ER SH AA T
scavenge	S K AE V AH N JH
scavenging	S K AE V AH N JH IH NG
scenic	S IY N IH K
scent	S EH N T
scented	S EH N T IH D
scents	S EH N T S
schematic	S K IH M AE T IH K
scheme	S K IY M
schemed	S K IY M D
schemes	S K IY M Z
scheming	S K IY M IH NG
schizophrenic	SH IH Z AH F R EH N IH K
schmooze	SH M UW Z
schmoozing	SH M UW Z IH NG
schnorr	SH N AO R
scholarly	S K AA L ER L IY
scholastic	S K AH L AE S T IH K
school	S K UW L
schooled	S K UW L D
schooling	S K UW L IH NG
schools	S K UW L Z
scientific	S AY AH N T IH F IH K
scissor	S IH Z ER
scissors	S IH Z ER Z
scoff	S K AO F
scoffed	S K AO F T
scoffs	S K AO F S
scold	S K OW L D
scolding	S K OW L D IH NG
scolds	S K OW L D Z
scoop	S K UW P
scooped	S K UW P T
scooping	S K UW P IH NG
scoops	S K UW P S
scoot	S K UW T
scoots	S K UW T S
scorch	S K AO R CH
scorched	S K AO R CH T
scorching	S K AO R CH IH NG
score	S K AO R
scored	S K AO R D
scoreless	S K AO R L AH S
scores	S K AO R Z
scoring	S K AO R IH NG
scorn	S K AO R N
scorned	S K AO R N D
scornful	S K AO R N F AH L
scorns	S K AO R N Z
scotch	S K AA CH
scotched	S K AA CH T
scotches	S K AA CH IH Z
scots	S K AA T S
scottish	S K AA T IH SH
scoured	S K AW ER D
scourge	S K ER JH
scourged	S K ER JH D
scourges	S K ER JH IH Z
scourging	S K ER JH IH NG
scouring	S K AW ER IH NG
scours	S K AW ER Z
scout	S K AW T
scouted	S K AW T AH D
scouting	S K AW T IH NG
scouts	S K AW T S
scowl	S K AW L
scowled	S K AW L D
scowling	S K AW L IH NG
scrabble	S K R AE B AH L
scraggly	S K R AE G L IY
scramble	S K R AE M B AH L
scrambled	S K R AE M B AH L D
scrambles	S K R AE M B AH L Z
scrap	S K R AE P
scrape	S K R EY P
scraped	S K R EY P T
scrapes	S K R EY P S
scraping	S K R EY P IH NG
scrapings	S K R EY P IH NG Z
scrapped	S K R AE P T
scrapping	S K R AE P IH NG
scrappy	S K R AE P IY
scraps	S K R AE P S
scratch	S K R AE CH
scratched	S K R AE CH T
scratching	S K R AE CH IH NG
scratchy	S K R AE CH IY
scrawl	S K R AO L
scrawled	S K R AO L D
scrawny	S K R AO N IY
scream	S K R IY M
screamed	S K R IY M D
screaming	S K R IY M IH NG
screamingly	S K R IY M IH NG L IY
screams	S K R IY M Z
screech	S K R IY CH
screeched	S K R IY CH T
screeches	S K R IY CH IH Z
screeching	S K R IY CH IH NG
screen	S K R IY N
screened	S K R IY N D
screening	S K R IY N IH NG
screenings	S K R IY N IH NG Z
screens	S K R IY N Z
screw	S K R UW
screwball	S K R UW B AO L
screwed	S K R UW D
screwing	S K R UW IH NG
screws	S K R UW Z
screwy	S K R UW IY
scribble	S K R IH B AH L
scribbled	S K R IH B AH L D
scribbles	S K R IH B AH L Z
scribe	S K R AY B
scribes	S K R AY B Z
scrimmage	S K R IH M IH JH
scrimp	S K R IH M P
scrimping	S K R IH M P IH NG
script	S K R IH P T
scripted	S K R IH P T IH D
scriptural	S K R IH P CH ER AH L
scroll	S K R OW L
scrolls	S K R OW L Z
scrounge	S K R AW N JH
scrounged	S K R AW N JH D
scrounging	S K R AW N JH IH NG
scrub	S K R AH B
scrubbed	S K R AH B D
scrubbing	S K R AH B IH NG
scrubby	S K R AH B IY
scruffy	S K R AH F IY
scrunch	S K R AH N CH
scrunched	S K R AH N CH T
scruple	S K R UW P AH L
scruples	S K R UW P AH L Z
scrupulous	S K R UW P Y AH L AH S
scrupulously	S K R UW P Y AH L AH S L IY
scrutinize	S K R UW T AH N AY Z
scrutinized	S K R UW T AH N AY Z D
scrutinizes	S K R UW T AH N AY Z IH Z
scrutinizing	S K R UW T AH N AY Z IH NG
scud	S K AH D
scuds	S K AH D Z
scuff	S K AH F
scuffed	S K AH F T
scuffle	S K AH F AH L
scuffled	S K AH F AH L D
scuffles	S K AH F AH L Z
scuffling	S K AH F AH L IH NG
scull	S K AH L
sculpt	S K AH L P T
sculpted	S K AH L P T IH D
sculpting	S K AH L P T IH NG
sculpts	S K AH L P T S
sculptural	S K AH L P CH ER AH L
sculpture	S K AH L P CH ER
sculptured	S K AH L P CH ER D
sculptures	S K AH L P CH ER Z
scum	S K AH M
scupper	S K AH P ER
scurried	S K ER IY D
scurrilous	S K ER AH L AH S
scurry	S K ER IY
scurrying	S K ER IY IH NG
scuttle	S K AH T AH L
scuttled	S K AH T AH L D
scythian	S IH TH IY AH N
seaborne	S IY B AO R N
seagoing	S IY G OW IH NG
seal	S IY L
sealed	S IY L D
seales	S IY L Z
sealing	S IY L IH NG
seals	S IY L Z
seam	S IY M
seamless	S IY M L AH S
seams	S IY M Z
seamy	S IY M IY
sear	S IH R
search	S ER CH
searched	S ER CH T
searches	S ER CH IH Z
searching	S ER CH IH NG
seared	S IH R D
searing	S IH R IH NG
sears	S IH R Z
seasick	S IY S IH K
season	S IY Z AH N
seasonable	S IY Z AH N AH B AH L
seasonal	S IY Z AH N AH L
seasoned	S IY Z AH N D
seasoning	S IY Z AH N IH NG
seasonings	S IY Z AH N IH NG Z
seasons	S IY Z AH N Z
seat	S IY T
seating	S IY T IH NG
seatings	S IY T IH NG Z
seats	S IY T S
seaward	S IY W ER D
seaworthy	S IY W AO R DH IY
sebaceous	S AH B EY SH AH S
sec	S EH K
secede	S IH S IY D
seceded	S IH S IY D IH D
seceding	S IH S IY D IH NG
seclude	S AH K L UW D
secluded	S IH K L UW D IH D
secondarily	S EH K AH N D EH R AH L IY
secondary	S EH K AH N D EH R IY
secretarial	S EH K R AH T EH R IY AH L
secrete	S IH K R IY T
secreted	S AH K R IY T AH D
secretive	S IY K R AH T IH V
secretly	S IY K R IH T L IY
sectarian	S EH K T EH R IY AH N
section	S EH K SH AH N
sectional	S EH K SH AH N AH L
sectioned	S EH K SH AH N D
sectioning	S EH K SH AH N IH NG
sections	S EH K SH AH N Z
secular	S EH K Y AH L ER
secularized	S EH K Y AH L ER AY Z D
secure	S IH K Y UH R
secured	S IH K Y UH R D
securely	S IH K Y UH R L IY
secures	S IH K Y UH R Z
securing	S IH K Y UH R IH NG
sedate	S IH D EY T
sedated	S IH D EY T IH D
sedately	S IH D EY T L IY
sedates	S IH D EY T S
sedating	S AH D EY T IH NG
sedative	S EH D AH T IH V
sedentary	S EH D AH N T EH R IY
sediment	S EH D AH M AH N T
sedimentary	S EH D AH M EH N T ER IY
sediments	S EH D AH M AH N T S
seditious	S IH D IH SH AH S
seduce	S IH D UW S
seduced	S IH D UW S T
seducing	S IH D UW S IH NG
seductive	S IH D AH K T IH V
seductively	S AH D AH K T IH V L IY
see	S IY
seed	S IY D
seeding	S IY D IH NG
seeds	S IY D Z
seedy	S IY D IY
seeing	S IY IH NG
seek	S IY K
seeking	S IY K IH NG
seeks	S IY K S
seel	S IY L
seeling	S IY L IH NG
seem	S IY M
seemed	S IY M D
seeming	S IY M IH NG
seemingly	S IY M IH NG L IY
seems	S IY M Z
seen	S IY N
seep	S IY P
seeped	S IY P T
seeping	S IY P IH NG
seeps	S IY P S
sees	S IY Z
seesaw	S IY S AO
seesawed	S IY S AO D
seesawing	S IY S AO IH NG
seethe	S IY DH
seething	S IY TH IH NG
segregate	S EH G R AH G EY T
segregated	S EH G R AH G EY T IH D
segregating	S EH G R IH G EY T IH NG
seine	S EY N IY
seismic	S AY Z M IH K
seismological	S AY Z M AH L AO JH AH K AH L
seize	S IY Z
seized	S IY Z D
seizes	S IY Z IH Z
seizing	S IY Z IH NG
seldom	S EH L D AH M
select	S AH L EH K T
selecting	S AH L EH K T IH NG
selective	S AH L EH K T IH V
selectively	S AH L EH K T IH V L IY
selects	S AH L EH K T S
self	S EH L F
selfish	S EH L F IH SH
selfless	S EH L F L AH S
seljuk	S EH L JH AH K
sell	S EH L
selling	S EH L IH NG
sellings	S EH L IH NG Z
sells	S EH L Z
semantic	S IH M AE N T IH K
seminal	S EH M AH N AH L
semiotic	S EH M IY AA T IH K
semite	S EH M AY T
semitic	S AH M IH T IH K
senatorial	S EH N AH T AO R IY AH L
send	S EH N D
sending	S EH N D IH NG
sends	S EH N D Z
senegalese	S EH N AH G AH L IY Z
senile	S IY N AY L
senior	S IY N Y ER
sensational	S EH N S EY SH AH N AH L
sensationalistic	S EH N S EY SH AH N AH L IH S T IH K
sense	S EH N S
sensed	S EH N S T
senseless	S EH N S L AH S
senses	S EH N S IH Z
sensible	S EH N S AH B AH L
sensibly	S EH N S AH B L IY
sensing	S EH N S IH NG
sensitively	S EH N S IH T IH V L IY
sensitize	S EH N S AH T AY Z
sensitized	S EH N S AH T AY Z D
sensory	S EH N S ER IY
sensual	S EH N CH AH W AH L
sensuous	S EH N CH AH W AH S
sent	S EH N T
sentence	S EH N T AH N S
sentenced	S EH N T AH N S T
sentencing	S EH N T AH N S IH NG
senter	S EH N T ER
separating	S EH P ER EY T IH NG
separatist	S EH P ER AH T IH S T
septic	S EH P T IH K
sequence	S IY K W AH N S
sequencing	S IY K W AH N S IH NG
sequent	S IY K W AH N T
sequential	S AH K W EH N CH AH L
sequentially	S AH K W EH N CH AH L IY
sequester	S IH K W EH S T ER
sequestered	S IH K W EH S T ER D
sequestering	S IH K W EH S T ER IH NG
sequesters	S IH K W EH S T ER Z
sequined	S IY K W AH N D
serbian	S ER B IY AH N
sere	S IH R
serenade	S EH R AH N EY D
serenaded	S EH R AH N EY D IH D
serenading	S EH R AH N EY D IH NG
serendipitous	S EH R AH N D IH P IH T AH S
serene	S ER IY N
serial	S IH R IY AH L
serialize	S IH R IY AH L AY Z
serialized	S IH R IY AH L AY Z D
serious	S IH R IY AH S
seriously	S IH R IY AH S L IY
serological	S EH R AH L AO JH IH K AH L
serpentine	S ER P AH N T AY N
serrate	S EH R EY T
serrated	S EH R EY T IH D
serve	S ER V
served	S ER V D
serves	S ER V Z
serviceable	S ER V AH S AH B AH L
serviced	S ER V IH S T
servicing	S ER V IH S IH NG
servile	S ER V AH L
serving	S ER V IH NG
servings	S ER V IH NG Z
servo	S ER V OW
set	S EH T
sets	S EH T S
setting	S EH T IH NG
settle	S EH T AH L
settled	S EH T AH L D
settles	S EH T AH L Z
seven	S EH V AH N
sevenfold	S EH V AH N F OW L D
seventeen	S EH V AH N T IY N
seventeenth	S EH V AH N T IY N TH
seventh	S EH V AH N TH
sever	S EH V ER
severally	S EH V R AH L IY
severe	S AH V IH R
severed	S EH V ER D
severely	S AH V IH R L IY
severest	S AH V IH R AH S T
severing	S EH V ER IH NG
severs	S EH V ER Z
sew	S OW
sewed	S OW D
sewing	S OW IH NG
sewn	S OW N
sex	S EH K S
sexed	S EH K S T
sexier	S EH K S IY ER
sexiest	S EH K S IY AH S T
sexist	S EH K S IH S T
sexless	S EH K S L IH S
sexual	S EH K SH UW AH L
sexually	S EH K SH UW AH L IY
sexy	S EH K S IY
shabby	SH AE B IY
shack	SH AE K
shackle	SH AE K AH L
shackled	SH AE K AH L D
shackles	SH AE K AH L Z
shacks	SH AE K S
shade	SH EY D
shaded	SH EY D IH D
shades	SH EY D Z
shading	SH EY D IH NG
shadings	SH EY D IH NG Z
shadow	SH AE D OW
shadowed	SH AE D OW D
shadowing	SH AE D OW IH NG
shadows	SH AE D OW Z
shadowy	SH AE D OW IY
shady	SH EY D IY
shaft	SH AE F T
shafted	SH AE F T IH D
shafting	SH AE F T IH NG
shafts	SH AE F T S
shag	SH AE G
shaggy	SH AE G IY
shake	SH EY K
shakedown	SH EY K D AW N
shaken	SH EY K AH N
shakes	SH EY K S
shakespearean	SH EY K S P IH R IY AH N
shakier	SH EY K IY ER
shakiest	SH EY K IY IH S T
shaking	SH EY K IH NG
shaky	SH EY K IY
shallow	SH AE L OW
shallower	SH AE L OW ER
sham	SH AE M
shamble	SH AE M B AH L
shambles	SH AE M B AH L Z
shame	SH EY M
shamed	SH EY M D
shameful	SH EY M F AH L
shameless	SH EY M L AH S
shamelessly	SH EY M L AH S L IY
shames	SH EY M Z
shaming	SH EY M IH NG
shampoo	SH AE M P UW
shampooed	SH AE M P UW D
shampoos	SH AE M P UW Z
shanghai	SH AE NG HH AY
shank	SH AE NG K
shanks	SH AE NG K S
shape	SH EY P
shaped	SH EY P T
shapeless	SH EY P L AH S
shapely	SH EY P L IY
shapes	SH EY P S
shaping	SH EY P IH NG
share	SH EH R
shared	SH EH R D
shares	SH EH R Z
sharing	SH EH R IH NG
shark	SH AA R K
sharking	SH AA R K IH NG
sharks	SH AA R K S
sharp	SH AA R P
sharpen	SH AA R P AH N
sharpened	SH AA R P AH N D
sharpens	SH AA R P AH N Z
sharper	SH AA R P ER
sharpest	SH AA R P AH S T
sharply	SH AA R P L IY
shatter	SH AE T ER
shattered	SH AE T ER D
shattering	SH AE T ER IH NG
shatterproof	SH AE T ER P R UW F
shatters	SH AE T ER Z
shave	SH EY V
shaved	SH EY V D
shaven	SH EY V AH N
shaves	SH EY V Z
shaving	SH EY V IH NG
shavings	SH EY V IH NG Z
shear	SH IH R
sheared	SH IH R D
shearing	SH IH R IH NG
shears	SH IY R Z
sheathe	SH IY DH
sheathed	SH IY DH D
sheathing	SH IY DH IH NG
shed	SH EH D
shedding	SH EH D IH NG
sheds	SH EH D Z
sheepish	SH IY P IH SH
sheepishly	SH IY P IH SH L IY
sheer	SH IH R
sheerer	SH IY R ER
sheet	SH IY T
sheeting	SH IY T IH NG
sheets	SH IY T S
shell	SH EH L
shelled	SH EH L D
shelling	SH EH L IH NG
shellings	SH EH L IH NG Z
shells	SH EH L Z
shelter	SH EH L T ER
sheltered	SH EH L T ER D
sheltering	SH EH L T ER IH NG
shelters	SH EH L T ER Z
shelve	SH EH L V
shelved	SH EH L V D
shelves	SH EH L V Z
shelving	SH EH L V IH NG
shepherd	SH EH P ER D
shepherded	SH EH P ER D IH D
shepherding	SH EH P ER D IH NG
shepherds	SH EH P ER D Z
shew	SH UW
shied	SH AY D
shield	SH IY L D
shielded	SH IY L D IH D
shielding	SH IY L D IH NG
shields	SH IY L D Z
shier	SH AY ER
shies	SH AY Z
shift	SH IH F T
shifting	SH IH F T IH NG
shiftless	SH IH F T L IH S
shifts	SH IH F T S
shifty	SH IH F T IY
shill	SH IH L
shilling	SH IH L IH NG
shillings	SH IH L IH NG Z
shimmer	SH IH M ER
shimmered	SH IH M ER D
shimmering	SH IH M ER IH NG
shimmers	SH IH M ER Z
shimmy	SH IH M IY
shin	SH IH N
shine	SH AY N
shined	SH AY N D
shines	SH AY N Z
shingle	SH IH NG G AH L
shingles	SH IH NG G AH L Z
shining	SH AY N IH NG
shinto	SH IH N T OW
shiny	SH AY N IY
ship	SH IH P
shipboard	SH IH P B AO R D
shipes	SH AY P S
shipped	SH IH P T
shipping	SH IH P IH NG
ships	SH IH P S
shipshape	SH IH P SH EY P
shipwreck	SH IH P R EH K
shirk	SH ER K
shirked	SH ER K T
shirking	SH ER K IH NG
shirr	SH ER
shirt	SH ER T
shirted	SH ER T AH D
shirting	SH ER T IH NG
shirts	SH ER T S
shit	SH IH T
shitty	SH IH T IY
shiver	SH IH V ER
shivered	SH IH V ER D
shivering	SH IH V ER IH NG
shivers	SH IH V ER Z
shoals	SH OW L Z
shock	SH AA K
shocked	SH AA K T
shocking	SH AA K IH NG
shockingly	SH AA K IH NG L IY
shocks	SH AA K S
shod	SH AA D
shoddy	SH AA D IY
shoe	SH UW
shoehorn	SH UW HH AO R N
shoehorned	SH UW HH AO R N D
shoes	SH UW Z
shona	SH OW N AH
shone	SH OW N
shoo	SH UW
shooed	SH UW D
shook	SH UH K
shoot	SH UW T
shooting	SH UW T IH NG
shootings	SH UW T IH NG Z
shoots	SH UW T S
shop	SH AA P
shoplift	SH AA P L IH F T
shoplifting	SH AA P L IH F T IH NG
shopped	SH AA P T
shopping	SH AA P IH NG
shops	SH AA P S
shopworn	SH AA P W AO R N
shore	SH AO R
shored	SH AO R D
shores	SH AO R Z
shoreward	SH AO R W ER D
shoring	SH AO R IH NG
shorn	SH AO R N
short	SH AO R T
shorted	SH AO R T IH D
shorten	SH AO R T AH N
shortened	SH AO R T AH N D
shortens	SH AO R T AH N Z
shorter	SH AO R T ER
shortest	SH AO R T IH S T
shorthand	SH AO R T HH AE N D
shorting	SH AO R T IH NG
shortly	SH AO R T L IY
shorts	SH AO R T S
shortsighted	SH AO R T S AY T IH D
shot	SH AA T
shoulder	SH OW L D ER
shouldered	SH OW L D ER D
shouldering	SH OW L D ER IH NG
shoulders	SH OW L D ER Z
shout	SH AW T
shouting	SH AW T IH NG
shouts	SH AW T S
shove	SH AH V
shoved	SH AH V D
shovel	SH AH V AH L
shoveled	SH AH V AH L D
shoveling	SH AH V L IH NG
shovels	SH AH V AH L Z
shoves	SH AH V Z
shoving	SH AH V IH NG
show	SH OW
showed	SH OW D
shower	SH AW ER
showered	SH AW ER D
showering	SH AW ER IH NG
showers	SH AW ER Z
showiest	SH OW IY AH S T
showing	SH OW IH NG
showings	SH OW IH NG Z
shown	SH OW N
shows	SH OW Z
showy	SH OW IY
shrank	SH R AE NG K
shred	SH R EH D
shredding	SH R EH D IH NG
shreds	SH R EH D Z
shrewd	SH R UW D
shrewdest	SH R UW D AH S T
shrewdly	SH R UW D L IY
shriek	SH R IY K
shrieked	SH R IY K T
shrieking	SH R IY K IH NG
shrieks	SH R IY K S
shrill	SH R IH L
shrimp	SH R IH M P
shrine	SH R AY N
shrines	SH R AY N Z
shrink	SH R IH NG K
shrinking	SH R IH NG K IH NG
shrinks	SH R IH NG K S
shrivel	SH R IH V AH L
shriveled	SH R IH V AH L D
shroud	SH R AW D
shrouded	SH R AW D IH D
shrouding	SH R AW D IH NG
shrouds	SH R AW D Z
shrubby	SH R AH B IY
shrug	SH R AH G
shrugged	SH R AH G D
shrugging	SH R AH G IH NG
shrugs	SH R AH G Z
shrunk	SH R AH NG K
shrunken	SH R AH NG K AH N
shuck	SH AH K
shucked	SH AH K T
shucking	SH AH K IH NG
shucks	SH AH K S
shudder	SH AH D ER
shuddered	SH AH D ER D
shuddering	SH AH D ER IH NG
shudders	SH AH D ER Z
shuffle	SH AH F AH L
shuffled	SH AH F AH L D
shuffles	SH AH F AH L Z
shun	SH AH N
shunned	SH AH N D
shunning	SH AH N IH NG
shuns	SH AH N Z
shunt	SH AH N T
shunted	SH AH N T IH D
shunting	SH AH N T IH NG
shunts	SH AH N T S
shut	SH AH T
shutes	SH UW T S
shuts	SH AH T S
shutter	SH AH T ER
shuttered	SH AH T ER D
shuttering	SH AH T ER IH NG
shutters	SH AH T ER Z
shutting	SH AH T IH NG
shuttle	SH AH T AH L
shuttled	SH AH T AH L D
shuttles	SH AH T AH L Z
shy	SH AY
shying	SH AY IH NG
shyly	SH AY L IY
siamese	S AY AH M IY Z
siberian	S AY B IH R IY AH N
sic	S IH K
sicilian	S IH S IH L IY AH N
sick	S IH K
sicken	S IH K AH N
sickened	S IH K AH N D
sicker	S IH K ER
sickest	S IH K AH S T
sickly	S IH K L IY
side	S AY D
sidearm	S AY D AA R M
sideline	S AY D L AY N
sidelined	S AY D L AY N D
sidelines	S AY D L AY N Z
sider	S AY D ER
sides	S AY D Z
sidestep	S AY D S T EH P
sidestepped	S AY D S T EH P T
sidestepping	S AY D S T EH P IH NG
sidesteps	S AY D S T EH P S
sidetrack	S AY D T R AE K
sidetracked	S AY D T R AE K T
sideways	S AY D W EY Z
sidewise	S AY D W AY Z
siding	S AY D IH NG
sidle	S AY D AH L
sidled	S AY D AH L D
sidles	S AY D AH L Z
sieve	S IH V
sieves	S IH V Z
sieving	S IH V IH NG
sift	S IH F T
sifted	S IH F T IH D
sifting	S IH F T IH NG
sifts	S IH F T S
sigh	S AY
sighed	S AY D
sighing	S AY IH NG
sighs	S AY Z
sight	S AY T
sighting	S AY T IH NG
sightings	S AY T IH NG Z
sights	S AY T S
sightsee	S AY T S IY
sightseeing	S AY T S IY IH NG
sign	S AY N
signal	S IH G N AH L
signaled	S IH G N AH L D
signaling	S IH G N AH L IH NG
signalled	S IH G N AH L D
signalling	S IH G N AH L IH NG
signals	S IH G N AH L Z
signed	S AY N D
significantly	S IH G N IH F IH K AH N T L IY
signified	S IH G N AH F AY D
signifies	S IH G N AH F AY Z
signify	S IH G N AH F AY
signifying	S IH G N AH F AY IH NG
signing	S AY N IH NG
signings	S AY N IH NG Z
signpost	S AY N P OW S T
signs	S AY N Z
sikh	S IY K
silence	S AY L AH N S
silenced	S AY L AH N S T
silences	S AY L AH N S IH Z
silencing	S AY L AH N S IH NG
silent	S AY L AH N T
silently	S AY L AH N T L IY
silhouette	S IH L AH W EH T
silhouetted	S IH L AH W EH T IH D
silhouettes	S IH L AH W EH T S
silken	S IH L K AH N
silky	S IH L K IY
sillier	S IH L IY ER
silliest	S IH L IY AH S T
silly	S IH L IY
silt	S IH L T
silver	S IH L V ER
silverplate	S IH L V ER P L EY T
silvers	S IH L V ER Z
silvery	S IH L V ER IY
simian	S IH M IY AH N
similar	S IH M AH L ER
similarly	S IH M AH L ER L IY
simmer	S IH M ER
simmered	S IH M ER D
simmering	S IH M ER IH NG
simmers	S IH M ER Z
simper	S IH M P ER
simple	S IH M P AH L
simplest	S IH M P L AH S T
simplex	S IH M P L EH K S
simplified	S IH M P L AH F AY D
simplifies	S IH M P L AH F AY Z
simplify	S IH M P L AH F AY
simplifying	S IH M P L AH F AY IH NG
simplistic	S IH M P L IH S T IH K
simply	S IH M P L IY
simulated	S IH M Y AH L EY T IH D
simulates	S IH M Y AH L EY T S
simulating	S IH M Y AH L EY T IH NG
simultaneous	S AY M AH L T EY N IY AH S
simultaneously	S AY M AH L T EY N IY AH S L IY
sin	S IH N
sincere	S IH N S IH R
sincerely	S IH N S IH R L IY
sines	S AY N Z
sinewy	S IH N Y UW IY
sinful	S IH N F AH L
sing	S IH NG
singaporean	S IH NG G AH P AO R IY AH N
singe	S IH N JH
singed	S IH N JH D
singing	S IH NG IH NG
single	S IH NG G AH L
singled	S IH NG G AH L D
singles	S IH NG G AH L Z
singly	S IH NG G L IY
sings	S IH NG Z
singular	S IH NG G Y AH L ER
singularly	S IH NG G Y AH L ER L IY
sinhalese	S IH N AH L IY Z
sinister	S IH N IH S T ER
sink	S IH NG K
sinking	S IH NG K IH NG
sinks	S IH NG K S
sinned	S IH N D
sinning	S IH N IH NG
sins	S IH N Z
sinuous	S IH N W AH S
sinusoidal	S AY N AH S OY D AH L
sinusoidally	S AY N AH S OY D AH L IY
sip	S IH P
sipes	S AY P S
siphon	S AY F AH N
siphoned	S AY F AH N D
siphoning	S AY F AH N IH NG
siphons	S AY F AH N Z
sipped	S IH P T
sipping	S IH P IH NG
sips	S IH P S
sire	S AY ER
sires	S AY R Z
sissy	S IH S IY
sit	S IH T
site	S AY T
sited	S AY T IH D
sites	S AY T S
siting	S AY T IH NG
sits	S IH T S
sitting	S IH T IH NG
situate	S IH CH UW EY T
situated	S IH CH UW EY T IH D
six	S IH K S
sixer	S IH K S ER
sixfold	S IH K S F OW L D
sixth	S IH K S TH
sixtieth	S IH K S T IY IH TH
sixty	S IH K S T IY
sizable	S AY Z AH B AH L
size	S AY Z
sizeable	S AY Z AH B AH L
sized	S AY Z D
sizer	S AY Z ER
sizing	S AY Z IH NG
sizzle	S IH Z AH L
sizzled	S IH Z AH L D
skate	S K EY T
skateboard	S K EY T B AO R D
skateboarding	S K EY T B AO R D IH NG
skated	S K EY T IH D
skates	S K EY T S
skating	S K EY T IH NG
skeletal	S K EH L AH T AH L
sketch	S K EH CH
sketched	S K EH CH T
sketching	S K EH CH IH NG
sketchy	S K EH CH IY
skew	S K Y UW
skewed	S K Y UW D
skewer	S K Y UW ER
skewered	S K Y UW ER D
skewers	S K Y UW ER Z
skewes	S K Y UW Z
skewing	S K Y UW IH NG
skews	S K Y UW Z
ski	S K IY
skid	S K IH D
skidding	S K IH D IH NG
skids	S K IH D Z
skied	S K IY D
skies	S K AY Z
skiing	S K IY IH NG
skilled	S K IH L D
skillful	S K IH L F AH L
skillfully	S K IH L F AH L IY
skim	S K IH M
skimmed	S K IH M D
skimming	S K IH M IH NG
skimp	S K IH M P
skimpier	S K IH M P IY ER
skimpiest	S K IH M P IY AH S T
skimping	S K IH M P IH NG
skimpy	S K IH M P IY
skin	S K IH N
skinless	S K IH N L AH S
skinned	S K IH N D
skinnier	S K IH N IY ER
skinniest	S K IH N IY AH S T
skinny	S K IH N IY
skins	S K IH N Z
skip	S K IH P
skipped	S K IH P T
skipper	S K IH P ER
skippers	S K IH P ER Z
skipping	S K IH P IH NG
skips	S K IH P S
skirmish	S K ER M IH SH
skirmishes	S K ER M IH SH IH Z
skirmishing	S K ER M IH SH IH NG
skirt	S K ER T
skirted	S K ER T IH D
skirting	S K ER T IH NG
skirts	S K ER T S
skis	S K IY Z
skittish	S K IH T IH SH
skittle	S K IH T AH L
skittles	S K IH T AH L Z
skulk	S K AH L K
skunk	S K AH NG K
skunks	S K AH NG K S
sky	S K AY
skydive	S K AY D AY V
skydiving	S K AY D AY V IH NG
skylark	S K AY L AA R K
skylarks	S K AY L AA R K S
skyrocket	S K AY R AA K AH T
skyrocketed	S K AY R AA K AH T IH D
skyrocketing	S K AY R AA K AH T IH NG
skyrockets	S K AY R AA K AH T S
skyward	S K AY W ER D
slack	S L AE K
slacked	S L AE K T
slacken	S L AE K AH N
slackened	S L AE K AH N D
slackening	S L AE K AH N IH NG
slackens	S L AE K AH N Z
slacker	S L AE K ER
slacks	S L AE K S
slag	S L AE G
slain	S L EY N
slalom	S L AA L AH M
slam	S L AE M
slammed	S L AE M D
slamming	S L AE M IH NG
slams	S L AE M Z
slander	S L AE N D ER
slandered	S L AE N D ER D
slandering	S L AE N D ER IH NG
slanderous	S L AE N D ER AH S
slanders	S L AE N D ER Z
slang	S L AE NG
slant	S L AE N T
slanting	S L AE N T IH NG
slap	S L AE P
slapdash	S L AE P D AE SH
slaphappy	S L AE P HH AE P IY
slapped	S L AE P T
slapping	S L AE P IH NG
slaps	S L AE P S
slapstick	S L AE P S T IH K
slash	S L AE SH
slashed	S L AE SH T
slashes	S L AE SH IH Z
slashing	S L AE SH IH NG
slat	S L AE T
slate	S L EY T
slated	S L EY T IH D
slates	S L EY T S
slather	S L AE DH ER
slathered	S L AE DH ER D
slathering	S L AE DH ER IH NG
slathers	S L AE DH ER Z
slating	S L EY T IH NG
slats	S L AE T S
slaughter	S L AO T ER
slaughtered	S L AO T ER D
slaughtering	S L AO T ER IH NG
slaughterings	S L AO T ER IH NG Z
slaughters	S L AO T ER Z
slav	S L AA V
slave	S L EY V
slaves	S L EY V Z
slavic	S L AA V IH K
slavish	S L EY V IH SH
slavishly	S L AE V IH SH L IY
slay	S L EY
slaying	S L EY IH NG
slayings	S L EY IH NG Z
sleazy	S L IY Z IY
sled	S L EH D
sledding	S L EH D IH NG
sledge	S L EH JH
sledgehammer	S L EH JH HH AE M ER
sleds	S L EH D Z
sleek	S L IY K
sleeker	S L IY K ER
sleekest	S L IY K AH S T
sleekly	S L IY K L IY
sleep	S L IY P
sleepily	S L IY P AH L IY
sleeping	S L IY P IH NG
sleepless	S L IY P L AH S
sleeps	S L IY P S
sleepwalk	S L IY P W AO K
sleepwalking	S L IY P W AO K IH NG
sleepy	S L IY P IY
sleet	S L IY T
sleeved	S L IY V D
sleeveless	S L IY V L IH S
sleigh	S L EY
slender	S L EH N D ER
slept	S L EH P T
sleuth	S L UW TH
sleuthing	S L UW TH IH NG
sleuths	S L UW TH S
slew	S L UW
slice	S L AY S
sliced	S L AY S T
slicing	S L AY S IH NG
slick	S L IH K
slicked	S L IH K T
slicker	S L IH K ER
